ds,yhat,yhat_lower,yhat_upper
2010-02-05,31704.568658004115,23990.372650269495,39592.87481726305
2010-02-12,37710.66796180245,30350.161215226093,45491.244567324335
2010-02-19,36413.3783006353,28797.616379111223,43881.18902111489
2010-02-26,28519.768593766697,20634.867085322716,35846.628114656465
2010-03-05,19515.153878869496,11750.765608693733,26480.72355138264
2010-03-12,16034.207547078713,8518.308811818504,23892.820674978495
2010-03-19,20581.64740330396,13176.534038690432,27933.62108273952
2010-03-26,29428.155057644053,21949.272109445577,36678.45915228187
2010-04-02,35911.45511618918,28711.96764934965,43201.67791709199
2010-04-09,36049.550221445475,27788.68662400214,43747.93500710175
2010-04-16,31131.549378550466,23332.28084927568,38795.02478103072
2010-04-23,25316.95801953909,18014.162458894694,32360.609768310358
2010-04-30,21417.420674995363,13243.783855454385,28607.294852904433
2010-05-07,19273.029841940923,11824.09642631448,27017.548206438416
2010-05-14,17552.74221937378,10002.744449559166,24625.473487448457
2010-05-21,15997.752115697522,8842.861562585864,23858.33744534781
2010-05-28,15398.907879794288,8031.439102354043,22636.809895687034
2010-06-04,15966.512986472148,9003.272624255607,23000.406014366075
2010-06-11,16680.417971609084,9008.318604726097,23997.223905676692
2010-06-18,16515.23515449485,9439.909724372295,23747.613882431142
2010-06-25,15742.834083371485,8754.118123794047,23720.70187824449
2010-07-02,15471.760343774156,7908.331041029537,22565.466611410786
2010-07-09,16070.436386363497,9007.146390779331,23423.40741768804
2010-07-16,16650.099416024743,9155.654936012012,23709.37971795022
2010-07-23,16299.395624274675,8599.80998921814,24322.45896278477
2010-07-30,15349.567219926448,7710.242520046152,23104.694699585652
2010-08-06,14922.958800210865,7264.222204608847,22438.040533032206
2010-08-13,15405.95633345277,8064.191292718205,22894.44117197777
2010-08-20,15995.018740310792,8933.963299969979,23683.31834471731
2010-08-27,15970.664238681724,8477.00512382006,23053.030407734117
2010-09-03,15874.73753145355,8398.000285613316,23242.219047172202
2010-09-10,16792.37703745774,8840.102186647968,24459.98186577914
2010-09-17,18618.195497535347,11246.702543799334,25643.27072346479
2010-09-24,19879.844781172254,13186.439767796375,26911.738862368133
2010-10-01,19793.08886665515,12182.840599206873,26839.014933806855
2010-10-08,19945.25776465025,12327.80889954213,27422.41662840366
2010-10-15,22853.838075300773,15814.058575178045,30537.285889684834
2010-10-22,28445.694154540233,21009.81490263729,36207.56583201852
2010-10-29,32745.51164737945,25804.09661346453,40182.974765869425
2010-11-05,31251.707205769726,24096.538617594768,39299.35496554259
2010-11-12,24065.868820988122,16794.399776335355,31655.446544485952
2010-11-19,17091.92471633635,9686.3646866885,24749.87627069097
2010-11-26,17244.765237440002,10247.985199221015,24795.13286142857
2010-12-03,25987.40327371959,18988.439577899164,33599.99145107366
2010-12-10,37575.47069521786,29882.171815329577,44622.626174265126
2010-12-17,43744.26226718769,36536.81613632866,51541.16256165362
2010-12-24,40288.470662425374,32336.7294303052,48353.37341108227
2010-12-31,29685.683428493583,21845.785888500035,37120.32193971453
2011-01-07,18370.29977965742,11027.205119989823,25671.128765331505
2011-01-14,12100.752652092307,4715.106117342072,18934.16792071304
2011-01-21,13237.59670421813,5857.641368307764,20427.25330681722
2011-01-28,20594.006548343794,12601.595471491904,27886.287235214386
2011-02-04,30351.654467892284,23208.129496569665,37447.30711115779
2011-02-11,37362.649831148796,29603.808114816093,44405.13460686294
2011-02-18,37470.88922404232,30351.36473990294,45012.88759348642
2011-02-25,30465.138097392843,22550.948960791524,37805.898904775204
2011-03-04,21132.975351505404,13917.424735992126,28090.14382123489
2011-03-11,16304.994235570099,9093.467936755587,24288.443514887862
2011-03-18,19527.14010923799,12130.41410728469,26612.740147476758
2011-03-25,28085.572002500874,20630.837286265647,36029.85395445732
2011-04-01,35423.60700358779,28148.101231132627,42743.081046541774
2011-04-08,36745.84570116043,29696.344944220993,44302.16159632753
2011-04-15,32449.55774678349,25117.742345951123,39522.08607108793
2011-04-22,26505.480747521095,19469.39251609139,34487.8134916735
2011-04-29,22199.252756592105,14202.713885843843,29382.093997537206
2011-05-06,19842.704694508382,12409.780196135145,26684.356065276865
2011-05-13,18112.005041314875,10487.061238127455,25770.48305387662
2011-05-20,16480.731290001022,8870.282184390513,24209.34923381499
2011-05-27,15658.586210189129,8291.87064422692,22849.67917633804
2011-06-03,16065.019067637058,8843.52905102851,24303.75682353574
2011-06-10,16851.5717757584,9197.794403553773,24577.412941548417
2011-06-17,16866.674621943544,9397.076308135991,24717.75326741041
2011-06-24,16125.474230903998,9003.774956295369,23596.371999417785
2011-07-01,15698.421374002799,7954.087965508293,23207.39024892098
2011-07-08,16179.325321091372,8549.587631672382,24089.957810650485
2011-07-15,16851.68997314495,9310.366260265857,23948.884390909247
2011-07-22,16684.274904164125,9325.382894321056,24469.055616075053
2011-07-29,15762.397397136698,8472.608605501651,22663.199671599705
2011-08-05,15175.496490664038,8236.993395465768,22704.828159331006
2011-08-12,15530.13576648588,8293.646866530085,23181.206687537087
2011-08-19,16178.49559977738,8798.377484428102,23560.550851237167
2011-08-26,16263.261492833266,8720.092845004901,22938.15782752782
2011-09-02,16092.447938546946,8568.75319525973,23527.001860661676
2011-09-09,16785.106364028437,9419.862795817104,24521.623001829696
2011-09-16,18535.290315742746,10645.834703458417,26043.973153735104
2011-09-23,20009.372157271333,12255.034731369702,27395.99812207115
2011-09-30,20117.4762952375,12785.32499814924,27204.415721515066
2011-10-07,20024.988934669636,12136.731055184671,28004.179746798814
2011-10-14,22329.895249669804,15099.50125123294,29118.7382228238
2011-10-21,27640.16056061773,19781.360622149652,34908.397795325465
2011-10-28,32558.499113462138,25383.391681409004,40156.28345257111
2011-11-04,32276.152898638735,24524.73342191717,39377.844039897536
2011-11-11,25807.73869273914,18302.236007243377,33330.40111018322
2011-11-18,18223.70343960601,10772.101884139374,25347.056278813263
2011-11-25,16776.14890624261,8531.883684715624,24249.13085047504
2011-12-02,24229.305107416025,16931.209875948574,31865.50908808411
