Store,Dept,YearMonth,Monthly_Sales
1,1,2010-02,131963.08000000002
1,1,2010-03,91237.14
1,1,2010-04,150516.76
1,1,2010-05,66694.15
1,1,2010-06,66740.7
1,1,2010-07,81915.01
1,1,2010-08,64578.81
1,1,2010-09,71913.27
1,1,2010-10,134644.53
1,1,2010-11,92161.4
1,1,2010-12,173983.88
1,1,2011-01,69146.59
1,1,2011-02,125762.63
1,1,2011-03,82823.34
1,1,2011-04,165056.95
1,1,2011-05,68251.72
1,1,2011-06,62978.57
1,1,2011-07,78856.23
1,1,2011-08,59061.95
1,1,2011-09,87756.41
1,1,2011-10,98806.83
1,1,2011-11,98537.51
1,1,2011-12,174512.07
1,1,2012-01,70205.35
1,1,2012-02,134683.3
1,1,2012-03,114680.54000000001
1,1,2012-04,125600.12
1,1,2012-05,70792.98
1,1,2012-06,83646.54
1,1,2012-07,66468.79
1,1,2012-08,83045.57
1,1,2012-09,76137.9
1,1,2012-10,96244.56
1,2,2010-02,187509.77
1,2,2010-03,177657.96000000002
1,2,2010-04,229414.66
1,2,2010-05,180517.29
1,2,2010-06,185572.64
1,2,2010-07,228766.14
1,2,2010-08,194885.12
1,2,2010-09,181356.68
1,2,2010-10,221780.16
1,2,2010-11,176701.15
1,2,2010-12,236373.27
1,2,2011-01,166307.69
1,2,2011-02,189791.78
1,2,2011-03,191017.1
1,2,2011-04,230185.08000000002
1,2,2011-05,183788.29
1,2,2011-06,179563.63999999998
1,2,2011-07,221436.51
1,2,2011-08,188752.72
1,2,2011-09,225135.59
1,2,2011-10,177357.14
1,2,2011-11,180507.46
1,2,2011-12,255578.29
1,2,2012-01,173144.13
1,2,2012-02,198068.89
1,2,2012-03,239844.23
1,2,2012-04,186815.14
1,2,2012-05,187447.36000000002
1,2,2012-06,237206.49
1,2,2012-07,184300.31
1,2,2012-08,238472.96
1,2,2012-09,181163.94
1,2,2012-10,176179.35
1,3,2010-02,47286.6
1,3,2010-03,41767.25
1,3,2010-04,48769.54
1,3,2010-05,33519.26
1,3,2010-06,30536.44
1,3,2010-07,67568.42
1,3,2010-08,149620.66
1,3,2010-09,50036.869999999995
1,3,2010-10,47490.2
1,3,2010-11,38880.91
1,3,2010-12,54409.97
1,3,2011-01,53600.3
1,3,2011-02,44639.53
1,3,2011-03,38926.8
1,3,2011-04,44486.83
1,3,2011-05,35213.09
1,3,2011-06,30187.079999999998
1,3,2011-07,64416.26
1,3,2011-08,154776.54
1,3,2011-09,62986.020000000004
1,3,2011-10,39406.16
1,3,2011-11,38570.76
1,3,2011-12,58798.46
1,3,2012-01,50063.78
1,3,2012-02,45614.81
1,3,2012-03,49198.2
1,3,2012-04,34545.95
1,3,2012-05,37953.22
1,3,2012-06,38685.67
1,3,2012-07,64443.51
1,3,2012-08,184909.04
1,3,2012-09,59146.31
1,3,2012-10,40063.92
1,4,2010-02,146792.36
1,4,2010-03,138745.04
1,4,2010-04,175968.62
1,4,2010-05,142777.87
1,4,2010-06,146642.36
1,4,2010-07,187834.21
1,4,2010-08,153546.24
1,4,2010-09,141422.1
1,4,2010-10,173483.24
1,4,2010-11,156268.46
1,4,2010-12,197436.30000000002
1,4,2011-01,138983.21
1,4,2011-02,143400.25
1,4,2011-03,142849.23
1,4,2011-04,174094.47999999998
1,4,2011-05,142227.63
1,4,2011-06,148469.27
1,4,2011-07,179718.02
1,4,2011-08,153433.1
1,4,2011-09,171289.03
1,4,2011-10,140599.74
1,4,2011-11,160402.08
1,4,2011-12,200642.56
1,4,2012-01,144902.23
1,4,2012-02,151084.27
1,4,2012-03,189825.1
1,4,2012-04,152754.04
1,4,2012-05,150544.24
1,4,2012-06,198869.63999999998
1,4,2012-07,156288.51
1,4,2012-08,194232.76
1,4,2012-09,143748.0
1,4,2012-10,146599.9
1,5,2010-02,112420.35
1,5,2010-03,106185.51999999999
1,5,2010-04,106825.03
1,5,2010-05,68093.87
1,5,2010-06,83582.64
1,5,2010-07,90841.41
1,5,2010-08,61453.55
1,5,2010-09,66069.07
1,5,2010-10,99581.31
1,5,2010-11,142478.05
1,5,2010-12,263535.58
1,5,2011-01,80701.83
1,5,2011-02,122911.2
1,5,2011-03,94011.65
1,5,2011-04,108000.9
1,5,2011-05,63972.55
1,5,2011-06,75054.29000000001
1,5,2011-07,92412.32
1,5,2011-08,76626.12
1,5,2011-09,95842.66
1,5,2011-10,112362.08
1,5,2011-11,169638.24
1,5,2011-12,214299.68
1,5,2012-01,83062.26
1,5,2012-02,143421.31
1,5,2012-03,133314.68
1,5,2012-04,80660.54000000001
1,5,2012-05,72812.1
1,5,2012-06,107934.01000000001
1,5,2012-07,69775.95
1,5,2012-08,92350.37999999999
1,5,2012-09,85964.84
1,5,2012-10,92689.61
1,6,2010-02,26188.85
1,6,2010-03,22214.63
1,6,2010-04,22263.53
1,6,2010-05,24021.21
1,6,2010-06,17708.3
1,6,2010-07,23991.85
1,6,2010-08,16042.03
1,6,2010-09,17080.71
1,6,2010-10,21784.13
1,6,2010-11,32956.67
1,6,2010-12,59250.9
1,6,2011-01,9096.53
1,6,2011-02,16105.06
1,6,2011-03,15209.18
1,6,2011-04,17680.74
1,6,2011-05,21589.16
1,6,2011-06,13126.36
1,6,2011-07,17119.77
1,6,2011-08,13002.6
1,6,2011-09,21623.239999999998
1,6,2011-10,20321.71
1,6,2011-11,31021.460000000003
1,6,2011-12,47538.15
1,6,2012-01,10203.03
1,6,2012-02,19327.420000000002
1,6,2012-03,21950.64
1,6,2012-04,15572.83
1,6,2012-05,19395.08
1,6,2012-06,21870.6
1,6,2012-07,11647.18
1,6,2012-08,11611.800000000001
1,6,2012-09,12978.14
1,6,2012-10,15161.07
1,7,2010-02,76603.81
1,7,2010-03,80154.64
1,7,2010-04,103532.4
1,7,2010-05,104867.42
1,7,2010-06,127370.57
1,7,2010-07,105761.45
1,7,2010-08,75152.08
1,7,2010-09,74454.54000000001
1,7,2010-10,82123.65
1,7,2010-11,137105.06
1,7,2010-12,401632.62
1,7,2011-01,54904.95
1,7,2011-02,86769.83
1,7,2011-03,82621.73000000001
1,7,2011-04,109258.44
1,7,2011-05,86262.65
1,7,2011-06,132250.59
1,7,2011-07,91307.53
1,7,2011-08,57006.54
1,7,2011-09,71629.2
1,7,2011-10,78150.39
1,7,2011-11,143229.81
1,7,2011-12,307898.96
1,7,2012-01,42990.130000000005
1,7,2012-02,70982.25
1,7,2012-03,88976.75
1,7,2012-04,86235.16
1,7,2012-05,93845.72
1,7,2012-06,136725.21
1,7,2012-07,79491.57999999999
1,7,2012-08,80687.72
1,7,2012-09,77352.92
1,7,2012-10,85671.4
1,8,2010-02,151499.64
1,8,2010-03,140888.97
1,8,2010-04,172302.44
1,8,2010-05,138014.3
1,8,2010-06,136336.72
1,8,2010-07,171391.29
1,8,2010-08,130681.56999999999
1,8,2010-09,133444.86
1,8,2010-10,171950.11
1,8,2010-11,141569.01
1,8,2010-12,182988.12
1,8,2011-01,140485.91
1,8,2011-02,145496.51
1,8,2011-03,136645.52
1,8,2011-04,167644.83
1,8,2011-05,143690.94
1,8,2011-06,141219.33000000002
1,8,2011-07,168969.92
1,8,2011-08,131921.83
1,8,2011-09,171560.1
1,8,2011-10,137952.77
1,8,2011-11,137376.4
1,8,2011-12,184744.9
1,8,2012-01,140831.26
1,8,2012-02,152836.81
1,8,2012-03,184506.44
1,8,2012-04,154675.55
1,8,2012-05,156175.88
1,8,2012-06,194781.05
1,8,2012-07,152433.89
1,8,2012-08,185185.13999999998
1,8,2012-09,149672.51
1,8,2012-10,157836.32
1,9,2010-02,64549.850000000006
1,9,2010-03,110936.24
1,9,2010-04,129031.03
1,9,2010-05,110583.5
1,9,2010-06,112555.51
1,9,2010-07,105463.1
1,9,2010-08,78832.26999999999
1,9,2010-09,135850.3
1,9,2010-10,174736.35
1,9,2010-11,158027.59
1,9,2010-12,147496.16
1,9,2011-01,53916.75
1,9,2011-02,81323.31
1,9,2011-03,125813.08
1,9,2011-04,136649.28
1,9,2011-05,97504.62
1,9,2011-06,105599.98
1,9,2011-07,101016.52
1,9,2011-08,79518.48999999999
1,9,2011-09,176472.59
1,9,2011-10,140108.27
1,9,2011-11,159507.21
1,9,2011-12,155353.35
1,9,2012-01,64182.65
1,9,2012-02,90238.43
1,9,2012-03,180660.65
1,9,2012-04,132844.09
1,9,2012-05,115094.72
1,9,2012-06,148888.44
1,9,2012-07,99831.88
1,9,2012-08,135583.35
1,9,2012-09,149406.5
1,9,2012-10,155297.41
1,10,2010-02,119772.36
1,10,2010-03,126646.04
1,10,2010-04,156172.67
1,10,2010-05,116563.4
1,10,2010-06,126222.17
1,10,2010-07,153951.74
1,10,2010-08,132891.27
1,10,2010-09,124023.28
1,10,2010-10,143615.57
1,10,2010-11,114989.47
1,10,2010-12,140827.01
1,10,2011-01,97634.20999999999
1,10,2011-02,136514.05
1,10,2011-03,144424.48
1,10,2011-04,158102.66
1,10,2011-05,116573.31
1,10,2011-06,128983.09
1,10,2011-07,149579.86
1,10,2011-08,123471.81
1,10,2011-09,152508.15
1,10,2011-10,119149.41
1,10,2011-11,122826.34
1,10,2011-12,151151.71
1,10,2012-01,102905.07
1,10,2012-02,149205.6
1,10,2012-03,184344.41
1,10,2012-04,126647.35
1,10,2012-05,132614.9
1,10,2012-06,172014.43
1,10,2012-07,130401.63
1,10,2012-08,152727.1
1,10,2012-09,118965.87
1,10,2012-10,111353.83
1,11,2010-02,81986.75
1,11,2010-03,74277.77
1,11,2010-04,101292.87
1,11,2010-05,107889.73999999999
1,11,2010-06,137338.01
1,11,2010-07,137172.33000000002
1,11,2010-08,120611.13
1,11,2010-09,66180.52
1,11,2010-10,87397.64
1,11,2010-11,101053.04
1,11,2010-12,140883.0
1,11,2011-01,97383.09
1,11,2011-02,80546.54999999999
1,11,2011-03,87908.75
1,11,2011-04,123439.26000000001
1,11,2011-05,95653.8
1,11,2011-06,150939.56
1,11,2011-07,168673.47
1,11,2011-08,95146.18
1,11,2011-09,95156.99
1,11,2011-10,83240.87
1,11,2011-11,100740.09
1,11,2011-12,155320.39
1,11,2012-01,88727.70999999999
1,11,2012-02,96382.72
1,11,2012-03,120879.29999999999
1,11,2012-04,93344.22
1,11,2012-05,110784.27
1,11,2012-06,167031.86
1,11,2012-07,121658.53
1,11,2012-08,113753.7
1,11,2012-09,75770.67
1,11,2012-10,84890.92
1,12,2010-02,35284.96
1,12,2010-03,47408.29
1,12,2010-04,55538.75
1,12,2010-05,46413.89
1,12,2010-06,46440.020000000004
1,12,2010-07,55625.990000000005
1,12,2010-08,46145.19
1,12,2010-09,41643.49
1,12,2010-10,53408.06
1,12,2010-11,38264.27
1,12,2010-12,36616.94
1,12,2011-01,29053.89
1,12,2011-02,38185.770000000004
1,12,2011-03,52163.54
1,12,2011-04,60560.090000000004
1,12,2011-05,50369.74
1,12,2011-06,46755.78
1,12,2011-07,56941.92
1,12,2011-08,40415.56
1,12,2011-09,48603.91
1,12,2011-10,45262.35
1,12,2011-11,37869.909999999996
1,12,2011-12,39397.09
1,12,2012-01,33271.88
1,12,2012-02,39746.82
1,12,2012-03,59678.36
1,12,2012-04,44789.85
1,12,2012-05,46705.85
1,12,2012-06,54885.69
1,12,2012-07,46880.020000000004
1,12,2012-08,54665.869999999995
1,12,2012-09,43512.44
1,12,2012-10,38509.8
1,13,2010-02,153770.69
1,13,2010-03,148495.96
1,13,2010-04,185181.53
1,13,2010-05,153530.68
1,13,2010-06,158908.44
1,13,2010-07,200992.7
1,13,2010-08,162592.63
1,13,2010-09,160098.73
1,13,2010-10,193837.61000000002
1,13,2010-11,154721.26
1,13,2010-12,177338.91
1,13,2011-01,145716.79
1,13,2011-02,150391.74
1,13,2011-03,153531.28
1,13,2011-04,180746.84
1,13,2011-05,147979.84
1,13,2011-06,154301.39
1,13,2011-07,185473.8
1,13,2011-08,157397.63
1,13,2011-09,194716.03
1,13,2011-10,154071.94
1,13,2011-11,154866.81
1,13,2011-12,176517.66
1,13,2012-01,151157.57
1,13,2012-02,165222.9
1,13,2012-03,199388.39
1,13,2012-04,161947.6
1,13,2012-05,158855.99
1,13,2012-06,201836.5
1,13,2012-07,159422.77
1,13,2012-08,208780.48
1,13,2012-09,162672.94
1,13,2012-10,158615.88
1,14,2010-02,71205.55
1,14,2010-03,59171.78
1,14,2010-04,64438.65
1,14,2010-05,52837.32
1,14,2010-06,53681.58
1,14,2010-07,66444.74
1,14,2010-08,54630.799999999996
1,14,2010-09,52510.6
1,14,2010-10,62119.57
1,14,2010-11,85975.15000000001
1,14,2010-12,135734.84
1,14,2011-01,55930.35
1,14,2011-02,62414.950000000004
1,14,2011-03,60065.78
1,14,2011-04,65649.16
1,14,2011-05,57118.99
1,14,2011-06,51316.08
1,14,2011-07,58041.979999999996
1,14,2011-08,52071.28
1,14,2011-09,65011.520000000004
1,14,2011-10,51715.24
1,14,2011-11,86115.64
1,14,2011-12,142752.16999999998
1,14,2012-01,54277.22
1,14,2012-02,73774.59
1,14,2012-03,76159.8
1,14,2012-04,59066.34
1,14,2012-05,62244.56
1,14,2012-06,71997.3
1,14,2012-07,58141.61
1,14,2012-08,62231.64
1,14,2012-09,49538.64
1,14,2012-10,49017.36
1,16,2010-02,48828.0
1,16,2010-03,109318.36
1,16,2010-04,259043.38
1,16,2010-05,181580.88999999998
1,16,2010-06,148017.86
1,16,2010-07,144640.47
1,16,2010-08,90026.72
1,16,2010-09,78061.73999999999
1,16,2010-10,55154.69
1,16,2010-11,27935.9
1,16,2010-12,28749.55
1,16,2011-01,22010.96
1,16,2011-02,55664.22
1,16,2011-03,146790.84
1,16,2011-04,229970.68
1,16,2011-05,153692.41
1,16,2011-06,152664.37
1,16,2011-07,131426.28
1,16,2011-08,66811.38
1,16,2011-09,69351.78
1,16,2011-10,42323.13
1,16,2011-11,25518.48
1,16,2011-12,26640.14
1,16,2012-01,24662.559999999998
1,16,2012-02,55785.49
1,16,2012-03,208504.78
1,16,2012-04,199603.6
1,16,2012-05,163283.58000000002
1,16,2012-06,187232.74
1,16,2012-07,113414.86
1,16,2012-08,102322.34
1,16,2012-09,63270.46
1,16,2012-10,41299.13
1,17,2010-02,50780.09
1,17,2010-03,45448.63
1,17,2010-04,42328.64
1,17,2010-05,38135.04
1,17,2010-06,36398.69
1,17,2010-07,43358.74
1,17,2010-08,40300.92
1,17,2010-09,38009.04
1,17,2010-10,43762.16
1,17,2010-11,41278.51
1,17,2010-12,66721.53
1,17,2011-01,32468.98
1,17,2011-02,45372.67
1,17,2011-03,41870.84
1,17,2011-04,43162.93
1,17,2011-05,34928.38
1,17,2011-06,32478.62
1,17,2011-07,38401.43
1,17,2011-08,34106.35
1,17,2011-09,37406.26
1,17,2011-10,31346.04
1,17,2011-11,36965.26
1,17,2011-12,60699.58
1,17,2012-01,32746.86
1,17,2012-02,39584.0
1,17,2012-03,47154.63
1,17,2012-04,32026.84
1,17,2012-05,33661.08
1,17,2012-06,38172.54
1,17,2012-07,31071.17
1,17,2012-08,42643.59
1,17,2012-09,30087.510000000002
1,17,2012-10,32230.23
1,18,2010-02,41904.74
1,18,2010-03,8250.21
1,18,2010-04,27234.27
1,18,2010-05,0.5
1,18,2010-06,4.25
1,18,2010-08,24.0
1,18,2010-09,5092.47
1,18,2010-10,46221.65
1,18,2010-11,69964.93
1,18,2010-12,179419.14
1,18,2011-01,9599.79
1,18,2011-02,41540.42
1,18,2011-03,1003.86
1,18,2011-04,29344.11
1,18,2011-05,911.87
1,18,2011-06,3.0
1,18,2011-07,0.8
1,18,2011-08,4.97
1,18,2011-09,6921.59
1,18,2011-10,34568.56
1,18,2011-11,69007.12
1,18,2011-12,166825.29
1,18,2012-01,12030.289999999999
1,18,2012-02,45212.21
1,18,2012-03,10020.49
1,18,2012-04,19486.22
1,18,2012-05,5.28
1,18,2012-06,5.17
1,18,2012-07,2.91
1,18,2012-08,19.91
1,18,2012-09,8882.76
1,18,2012-10,43966.619999999995
1,19,2010-02,6815.33
1,19,2010-03,7334.31
1,19,2010-04,7840.4
1,19,2010-05,5522.3099999999995
1,19,2010-06,5339.09
1,19,2010-07,7006.16
1,19,2010-08,6790.58
1,19,2010-09,6811.33
1,19,2010-10,9855.35
1,19,2010-11,5965.16
1,19,2010-12,7495.43
1,19,2011-01,3440.94
1,19,2011-02,6071.14
1,19,2011-03,5799.12
1,19,2011-04,6476.4
1,19,2011-05,4811.13
1,19,2011-06,2902.25
1,19,2011-07,4431.86
1,19,2011-08,3322.91
1,19,2011-09,4938.16
1,19,2011-10,4243.29
1,19,2011-11,3378.17
1,19,2011-12,7327.44
1,19,2012-01,2800.4900000000002
1,19,2012-02,3901.34
1,19,2012-03,5579.66
1,19,2012-04,3315.96
1,19,2012-05,5482.280000000001
1,19,2012-06,5815.610000000001
1,19,2012-07,4170.97
1,19,2012-08,5197.66
1,19,2012-09,4360.79
1,19,2012-10,5496.63
1,20,2010-02,17459.63
1,20,2010-03,19345.84
1,20,2010-04,16729.15
1,20,2010-05,17916.36
1,20,2010-06,22983.1
1,20,2010-07,24931.5
1,20,2010-08,16803.88
1,20,2010-09,13161.82
1,20,2010-10,17353.28
1,20,2010-11,14950.31
1,20,2010-12,15896.09
1,20,2011-01,11837.61
1,20,2011-02,14918.08
1,20,2011-03,16362.89
1,20,2011-04,15987.49
1,20,2011-05,16620.18
1,20,2011-06,18499.02
1,20,2011-07,22257.85
1,20,2011-08,17756.65
1,20,2011-09,18884.42
1,20,2011-10,12470.2
1,20,2011-11,14409.380000000001
1,20,2011-12,19214.06
1,20,2012-01,15034.67
1,20,2012-02,20283.379999999997
1,20,2012-03,26932.93
1,20,2012-04,16409.05
1,20,2012-05,18976.04
1,20,2012-06,23311.4
1,20,2012-07,17864.79
1,20,2012-08,21278.14
1,20,2012-09,14623.720000000001
1,20,2012-10,13631.82
1,21,2010-02,35185.55
1,21,2010-03,31011.86
1,21,2010-04,38284.86
1,21,2010-05,32201.739999999998
1,21,2010-06,32729.839999999997
1,21,2010-07,40181.29
1,21,2010-08,29228.81
1,21,2010-09,31082.59
1,21,2010-10,37583.85
1,21,2010-11,32065.35
1,21,2010-12,46936.34
1,21,2011-01,27773.35
1,21,2011-02,31143.9
1,21,2011-03,29787.34
1,21,2011-04,36762.66
1,21,2011-05,27990.75
1,21,2011-06,28514.440000000002
1,21,2011-07,35985.55
1,21,2011-08,31426.190000000002
1,21,2011-09,41066.01
1,21,2011-10,33254.6
1,21,2011-11,35505.66
1,21,2011-12,49277.83
1,21,2012-01,28151.45
1,21,2012-02,33743.1
1,21,2012-03,41229.42
1,21,2012-04,31376.9
1,21,2012-05,28991.47
1,21,2012-06,36182.93
1,21,2012-07,26911.87
1,21,2012-08,33326.03
1,21,2012-09,31094.75
1,21,2012-10,30620.15
1,22,2010-02,50017.87
1,22,2010-03,35394.45
1,22,2010-04,32873.22
1,22,2010-05,24810.62
1,22,2010-06,25858.260000000002
1,22,2010-07,32820.71
1,22,2010-08,30686.28
1,22,2010-09,31865.55
1,22,2010-10,36320.23
1,22,2010-11,38914.76
1,22,2010-12,66039.39
1,22,2011-01,29634.239999999998
1,22,2011-02,45821.62
